par_id,text_clarity
79225005859,clear_enough
959908012329,clear_enough
123020006718,clear_enough
113961006578,clear_enough
8471004175,clear_enough
657766010751,clear_enough
291401008485,not_clear_enough
312084008609,clear_enough
451414002296,clear_enough
71502000795,clear_enough
8471004195,clear_enough
199756007421,clear_enough
83427005999,clear_enough
48005005052,clear_enough
804796011634,clear_enough
280846008389,not_clear_enough
564928010102,clear_enough
50634005193,clear_enough
402868002160,clear_enough
368829002073,not_clear_enough
584586010228,clear_enough
5123000167,clear_enough
196502007386,clear_enough
98456000878,clear_enough
52793005305,clear_enough
659505010867,clear_enough
9691004358,clear_enough
564928010079,clear_enough
63684005666,clear_enough
312084008610,clear_enough
291829001716,clear_enough
56349005442,clear_enough
531004002497,not_clear_enough
451380009620,clear_enough
404481009431,clear_enough
168978007185,not_clear_enough
348176002009,not_clear_enough
760686011308,not_clear_enough
522003324,not_clear_enough
183877007311,not_clear_enough
341025008938,clear_enough
451352009594,clear_enough
183877007318,clear_enough
696191011126,clear_enough
399203009399,clear_enough
337101008881,not_clear_enough
195432007343,not_clear_enough
3219003470,not_clear_enough
109181006281,clear_enough
79225005861,clear_enough
168978007192,not_clear_enough
6362003933,clear_enough
655515010613,not_clear_enough
804796011625,clear_enough
674015011035,clear_enough
374005009162,clear_enough
1041042013010,clear_enough
377793009196,clear_enough
831528011785,not_clear_enough
291674001699,clear_enough
359370009070,not_clear_enough
835066011824,clear_enough
244841008106,clear_enough
4076003578,not_clear_enough
840357011910,clear_enough
98456006149,clear_enough
290005001616,clear_enough
835066011825,clear_enough
835066011837,clear_enough
1006039003220,not_clear_enough
296817001752,not_clear_enough
321613008748,not_clear_enough
314496008688,not_clear_enough
291687008560,clear_enough
6360003776,clear_enough
892546012079,clear_enough
7628004087,clear_enough
467197002358,not_clear_enough
137610006805,clear_enough
79225005845,clear_enough
7628004083,clear_enough
531764002505,not_clear_enough
564928010122,clear_enough
835516011848,clear_enough
672629010978,clear_enough
126263001057,not_clear_enough
527693009933,clear_enough
4492000140,not_clear_enough
3219003418,not_clear_enough
217553007742,not_clear_enough
8471004193,clear_enough
459746002343,clear_enough
3219003433,not_clear_enough
694781102764,not_clear_enough
323165008762,clear_enough
7628004101,clear_enough
220520007855,not_clear_enough
83427000844,clear_enough
430941009538,clear_enough
58842005559,not_clear_enough